Entity,Code,Per capita plastic waste (kilograms per person per day),Per capita plastic waste (pounds per person per day),Per capita plastic waste (pounds per person per week)
Nigeria,NGA,0.103,0.22707586,1.58953102
Niue,NIU,0.252,0.55556424,3.88894968
Norfolk Island,NFK,0.103,0.22707586,1.58953102
North Korea,PRK,0.054,0.11904948,0.83334636
Northern Mariana Islands,MNP,0.252,0.55556424,3.88894968
Norway,NOR,0.28,0.6172936,4.3210552
Oman,OMN,0.084,0.18518808,1.29631656
Pakistan,PAK,0.103,0.22707586,1.58953102
Palau,PLW,0.144,0.31746528,2.22225696
Palestine,PSE,0.063,0.13889106,0.97223742
Panama,PAN,0.145,0.3196699,2.2376893
Papua New Guinea,PNG,0.103,0.22707586,1.58953102
Peru,PER,0.144,0.31746528,2.22225696
Philippines,PHL,0.075,0.1653465,1.1574255
Poland,POL,0.097,0.21384814,1.49693698
Portugal,PRT,0.265,0.5842243,4.0895701
Puerto Rico,PRI,0.252,0.55556424,3.88894968
Qatar,QAT,0.16,0.3527392,2.4691744
Reunion,REU,0.144,0.31746528,2.22225696
Romania,ROU,0.042,0.09259404,0.64815828
Russia,RUS,0.112,0.24691744,1.72842208
Saint Helena,SHN,0.144,0.31746528,2.22225696
Saint Kitts and Nevis,KNA,0.654,1.44182148,10.09275036
Saint Lucia,LCA,0.522,1.15081164,8.05568148
Saint Pierre and Miquelon,SPM,0.252,0.55556424,3.88894968
Saint Vincent and the Grenadines,VCT,0.221,0.48722102,3.41054714
Samoa,WSM,0.103,0.22707586,1.58953102
Sao Tome and Principe,STP,0.103,0.22707586,1.58953102
Saudi Arabia,SAU,0.156,0.34392072,2.40744504
Senegal,SEN,0.103,0.22707586,1.58953102
Seychelles,SYC,0.358,0.78925396,5.52477772
Sierra Leone,SLE,0.041,0.09038942,0.63272594
Singapore,SGP,0.194,0.42769628,2.99387396
Sint Maarten (Dutch part),SXM,0.252,0.55556424,3.88894968
Slovenia,SVN,0.145,0.3196699,2.2376893
Solomon Islands,SLB,0.103,0.22707586,1.58953102
Somalia,SOM,0.054,0.11904948,0.83334636
South Africa,ZAF,0.24,0.5291088,3.7037616
South Korea,KOR,0.112,0.24691744,1.72842208
Spain,ESP,0.277,0.61067974,4.27475818
Sri Lanka,LKA,0.357,0.78704934,5.50934538
Sudan,SDN,0.103,0.22707586,1.58953102
Suriname,SUR,0.163,0.35935306,2.51547142
Sweden,SWE,0.048,0.10582176,0.74075232
Syria,SYR,0.178,0.39242236,2.74695652
Taiwan,TWN,0.252,0.55556424,3.88894968
Tanzania,TZA,0.023,0.05070626,0.35494382
Thailand,THA,0.144,0.31746528,2.22225696
Togo,TGO,0.057,0.12566334,0.87964338
Tokelau,TKL,0.103,0.22707586,1.58953102
Tonga,TON,0.223,0.49163026,3.44141182
Trinidad and Tobago,TTO,0.29,0.6393398,4.4753786
Tunisia,TUN,0.144,0.31746528,2.22225696
Turkey,TUR,0.212,0.46737944,3.27165608
Turks and Caicos Islands,TCA,0.252,0.55556424,3.88894968
Tuvalu,TUV,0.144,0.31746528,2.22225696
Ukraine,UKR,0.103,0.22707586,1.58953102
United Arab Emirates,ARE,0.199,0.43871938,3.07103566
United Kingdom,GBR,0.215,0.4739933,3.3179531
United States,USA,0.335,0.7385477,5.1698339
Uruguay,URY,0.252,0.55556424,3.88894968
Vanuatu,VUT,0.295,0.6503629,4.5525403
Venezuela,VEN,0.252,0.55556424,3.88894968
Vietnam,VNM,0.103,0.22707586,1.58953102
Yemen,YEM,0.103,0.22707586,1.58953102
